station_id,station_name,station_latitude,station_longitude
SF-F27,Post St at Kearny St,37.789,-122.403
SF-F27,Post St at Kearny St,37.789,-122.404
SF-F28-1,Mechanics Monument Plaza (Market St at Bush St),37.791,-122.399
SF-F28-2,Montgomery St BART Station (Market St at 2nd St),37.79,-122.402
SF-F28-2,Montgomery St BART Station (Market St at 2nd St),37.79,-122.401
SF-F29,Howard St at Beale St,37.79,-122.394
SF-F30-1,The Embarcadero at Steuart St,37.791,-122.391
SF-F30-2,Spear St at Folsom St,37.789,-122.391
SF-F30-2,Spear St at Folsom St,37.789,-122.39
SF-F30-3,Folsom St at Main St,37.789,-122.392
SF-F9,18th Ave at California St,37.785,-122.478
SF-G10-1,Funston Ave at Clement St,37.782,-122.472
SF-G10-2,14th Ave at Geary Blvd,37.78,-122.473
SF-G11,9th Ave at Geary Blvd,37.782,-122.468
SF-G12,7th Ave at Clement St,37.782,-122.465
SF-G13,Arguello Blvd at Geary Blvd,37.782,-122.459
SF-G13,Arguello Blvd at Geary Blvd,37.781,-122.459
SF-G17,Post St at Baker St,37.784,-122.443
SF-G18,Post St at Divisadero St,37.784,-122.439
SF-G19,Raymond Kimbell Playground,37.784,-122.435
SF-G20,Post St at Webster St,37.785,-122.432
SF-G20-1,Post St at Laguna St,37.79,-122.43
SF-G23,Myrtle St at Polk St,37.786,-122.419
SF-G24,Hyde St at Post St,37.787,-122.417
SF-G25,Jones St at Post St,37.787,-122.413
SF-G26,Cyril Magnin St at Ellis St,37.786,-122.409
SF-G27,Powell St BART Station (Market St at 4th St),37.786,-122.405
SF-G28-1,Howard St at 2nd St,37.786,-122.398
SF-G28-1,Howard St at 2nd St,37.786,-122.399
SF-G28-2,Natoma St at New Montgomery St,37.787,-122.4
SF-G29-1,Salesforce Transit Center (Natoma St at 2nd St),37.787,-122.398
SF-G29-1,Salesforce Transit Center (Natoma St at 2nd St),37.788,-122.398
SF-G29-2,1st St at Folsom St,37.787,-122.394
SF-G29-2,1st St at Folsom St,37.787,-122.395
SF-G29-3,Tehama St at 1st St,37.788,-122.395
SF-G29-3,Tehama St at 1st St,37.788,-122.396
SF-G30-1,Beale St at Harrison St,37.788,-122.392
SF-G30-2,The Embarcadero at Bryant St,37.787,-122.388
SF-G5,Clement St at 32nd Ave,37.782,-122.493
SF-G6,28th Ave at Geary Blvd,37.78,-122.488
