listing_id,host_id,host_since,name,neighbourhood,district,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
583987826544046548,449871254,2022-03-16,Precioso apartamento  cerca  ala estación de sants,la Nova Esquerra de l'Eixample,Eixample,Private room in rental unit,Private room,1.0,35.0,78,4.71
21689268,102449683,2016-11-04,Habitacion individual muy entrañable,el Fort Pienc,Eixample,Private room in rental unit,Private room,1.0,39.0,24,4.38
26468420,50257816,2015-12-01,Habitacion individual,Sant Martí de Provençals,Sant Martí,Private room in rental unit,Private room,1.0,16.0,23,4.83
29274945,220552531,2018-10-14,Sunny and cozy Apartment Sagrada Familia,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2.0,111.0,136,4.89
835509726708771082,429922229,2021-11-01,Suite Room*AC*Private Balcony*Private Bath*Gotico,el Barri Gòtic,Ciutat Vella,Private room in rental unit,Private room,1.0,115.0,0,
19735557,9220544,2013-10-04,Sunny and spacious two room appartment,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2.0,145.0,2,4.0
44012894,265147782,2019-05-30,Cozy studio in Portaferrisa,el Barri Gòtic,Ciutat Vella,Entire rental unit,Entire home/apt,,40.0,2,3.0
51200942,852613,2011-07-22,A Gem hidden in the Gothic quarter of Barcelona,el Barri Gòtic,Ciutat Vella,Private room in rental unit,Private room,1.0,93.0,36,4.67
582357735200479342,448783437,2022-03-09,Habitacion privada  Barcelona - Maragall,el Congrés i els Indians,Sant Andreu,Private room in rental unit,Private room,1.0,56.0,84,4.86
3855575,5070884,2013-02-13,Fantastic penthouse in Bcn Center,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,1.0,237.0,428,4.91
43752336,26008219,2015-01-12,🚭 Spacious room for a girl.,el Fort Pienc,Eixample,Private room in rental unit,Private room,1.0,30.0,6,4.67
8303878,5636973,2013-03-26,Central and charming apartment,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire rental unit,Entire home/apt,2.0,85.0,161,4.51
669938873995663709,9400556,2013-10-13,51flo4 Nice apartament in Sant Antoni,Sant Antoni,Eixample,Entire rental unit,Entire home/apt,2.0,58.0,20,4.55
691199055787813027,460530913,2022-05-23,Casa con gran jardin. Habitacion blue.,la Teixonera,Horta-Guinardó,Private room in home,Private room,1.0,18.0,0,
670729602219897839,4085156,2012-11-07,BBARCELONA SAGRADA FAMILIA FLATS - Penthouse 1051,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,2.0,1000.0,0,
24218792,10547296,2013-12-10,Precioso Apartamento en Barcelona *Bcn* A02,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,1.0,99.0,60,4.43
641328690216365926,458862217,2022-05-13,Brand New Nice Flat with Balcony (3),"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,1.0,63.0,1,5.0
9377811,47171261,2015-10-22,Illa Diagonal,les Corts,Les Corts,Entire rental unit,Entire home/apt,2.0,110.0,52,4.22
831091032601961077,501969795,2023-02-20,Hermosa Habitación en Barcelona,la Verneda i la Pau,Sant Martí,Private room in rental unit,Private room,1.0,31.0,2,5.0
34555276,134738721,2017-06-12,Private suite in an apartment,Sant Andreu,Sant Andreu,Private room in rental unit,Private room,,45.0,19,4.95
590313511300755361,355345015,2020-07-10,Habitación Acogedora y Céntrica Doble,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Private room in rental unit,Private room,1.0,21.0,3,5.0
695680521971139582,381771605,2020-12-27,Hermosa habitación en el centro de Barcelona,el Fort Pienc,Eixample,Private room in rental unit,Private room,1.0,60.0,28,4.32
41574813,327616183,2020-01-15,1-1 · Apartamento a 10 minutos de la Sagrada Familia,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2.0,116.0,75,4.59
734721047088190521,483034243,2022-10-10,Bonita y cómoda habitación,el Turó de la Peira,Nou Barris,Private room in rental unit,Private room,1.0,43.0,29,4.59
50566522,186012406,2018-04-24,Excelente Apartamento en el centro de Barcelona,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,3.0,136.0,57,4.86
40770694,10547296,2013-12-10,Acogedor ático con espectacular terraza *Bcn*,Sants - Badal,Sants-Montjuïc,Entire rental unit,Entire home/apt,1.0,81.0,29,4.34
46268596,204662752,2018-07-24,Alohause | Lovely room | Baño Priv | desk | Gracia,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Private room in rental unit,Private room,1.0,27.0,1,5.0
38498521,277280085,2019-07-19,ALQUILER DE HABILITACIÓN EN BARCELONA PARA 2 PERS,la Guineueta,Nou Barris,Private room in rental unit,Private room,2.0,55.0,6,4.17
50476381,151051795,2017-09-18,Five Bedroom Top Apartment Paseo de Gracia,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,5.0,592.0,55,4.69
813799457495116883,483397564,2022-10-13,Céntrica habitación simple,el Raval,Ciutat Vella,Private room in rental unit,Private room,1.0,40.0,0,
50786688,371894667,2020-10-14,numa | Spacious Apartment with Picturesque Terrace,el Raval,Ciutat Vella,Entire serviced apartment,Entire home/apt,3.0,331.0,53,4.55
53651855,434349852,2021-12-02,Individual interior room,el Raval,Ciutat Vella,Room in hotel,Private room,,114.0,8,4.88
662185766397465276,289642035,2019-08-27,Room in the Centre,el Raval,Ciutat Vella,Private room in rental unit,Private room,1.0,70.0,18,4.17
25706139,188520846,2018-05-08,STYLISH STUDIO 5 MINUTES WALKING FROM THE BEACH,la Barceloneta,Ciutat Vella,Entire loft,Entire home/apt,1.0,70.0,13,4.0
563585031318190740,36607755,2015-06-24,Bonita habitación doble en Gràcia,la Vila de Gràcia,Gràcia,Private room in rental unit,Private room,1.0,32.0,0,
37875922,266205733,2019-06-04,"Perfect Room near Park Güell, & Bus station!",Can Baró,Horta-Guinardó,Private room in rental unit,Private room,1.0,146.0,48,4.31
43423133,88852747,2016-08-09,Economica habitación #4 a 1min del Arc del triomf,la Dreta de l'Eixample,Eixample,Private room in rental unit,Private room,1.0,43.0,83,4.72
30550574,194993935,2018-06-11,Mini Room,el Besòs i el Maresme,Sant Martí,Private room in rental unit,Private room,1.0,25.0,40,4.75
19221465,41878823,2015-08-19,No book - No reverve,Sants,Sants-Montjuïc,Private room in rental unit,Private room,1.0,1000.0,1,4.0
31488721,36607755,2015-06-24,Luminosa habitación con cama individual,la Dreta de l'Eixample,Eixample,Private room in rental unit,Private room,1.0,27.0,0,
842556232536835762,238724735,2019-01-24,BBarcelona FIRA V Superior Flat,la Font de la Guatlla,Sants-Montjuïc,Entire rental unit,Entire home/apt,4.0,187.0,0,
617854605067842741,267312990,2019-06-09,Apartamento nuevo con cocina y baño privado b5,Sants - Badal,Sants-Montjuïc,Entire guesthouse,Entire home/apt,1.0,45.0,4,4.75
